seconds	pulse_idx	raw_data_idx
0.0777	0	0
0.0962	1	1
0.1148	2	2
0.1333	3	3
0.1518	4	4
0.1704	5	5
0.1889	6	6
0.2074	7	7
0.2260	8	8
0.2445	9	9
0.2630	10	10
0.2816	11	11
0.3001	12	12
0.3186	13	13
0.3371	14	14
0.3557	15	15
0.3742	16	16
0.3928	17	17
0.4113	18	18
0.4298	19	19
0.4483	20	20
0.4669	21	21
0.4854	22	22
0.5039	23	23
0.5225	24	24
0.5410	25	25
0.5595	26	26
0.5781	27	27
0.5966	28	28
0.6151	29	29
0.6337	30	30
0.6522	31	31
0.6707	32	32
0.6892	33	33
0.7078	34	34
0.7263	35	35
0.7449	36	36
0.7634	37	37
0.7819	38	38
0.8005	39	39
0.8190	40	40
0.8375	41	41
0.8560	42	42
0.8746	43	43
0.8931	44	44
0.9116	45	45
0.9302	46	46
0.9487	47	47
0.9672	48	48
0.9858	49	49
1.0043	50	50
1.0228	51	51
1.0414	52	52
1.0599	53	53
1.0784	54	54
1.0970	55	55
1.1155	56	56
1.1340	57	57
1.1526	58	58
1.1711	59	59
1.1896	60	60
1.2081	61	61
1.2267	62	62
1.2452	63	63
1.2638	64	64
1.2823	65	65
1.3008	66	66
1.3194	67	67
1.3379	68	68
1.3564	69	69
1.3749	70	70
1.3935	71	71
1.4120	72	72
1.4305	73	73
1.4491	74	74
1.4676	75	75
1.4861	76	76
1.5047	77	77
1.5232	78	78
1.5417	79	79
1.5603	80	80
1.5788	81	81
1.5973	82	82
1.6159	83	83
1.6344	84	84
1.6529	85	85
1.6715	86	86
1.6900	87	87
1.7085	88	88
1.7270	89	89
1.7456	90	90
1.7641	91	91
1.7826	92	92
1.8012	93	93
1.8197	94	94
1.8382	95	95
1.8568	96	96
1.8753	97	97
1.8938	98	98
1.9124	99	99
1.9309	100	100
1.9494	101	101
1.9680	102	102
1.9865	103	103
2.0050	104	104
2.0236	105	105
2.0421	106	106
2.0606	107	107
2.0792	108	108
2.0977	109	109
2.1162	110	110
2.1348	111	111
2.1533	112	112
2.1718	113	113
2.1904	114	114
2.2089	115	115
2.2274	116	116
2.2459	117	117
2.2645	118	118
2.2830	119	119
2.3015	120	120
2.3201	121	121
2.3386	122	122
2.3571	123	123
2.3757	124	124
2.3942	125	125
2.4127	126	126
2.4313	127	127
2.4498	128	128
2.4683	129	129
2.4869	130	130
2.5054	131	131
2.5239	132	132
2.5425	133	133
2.5610	134	134
2.5795	135	135
2.5981	136	136
2.6166	137	137
2.6351	138	138
2.6536	139	139
2.6722	140	140
2.6907	141	141
2.7092	142	142
2.7278	143	143
2.7463	144	144
2.7648	145	145
2.7834	146	146
